Lat,Lon,ANPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation
60.6,7.5,427,-1.7,1174,104149,429,27330,0.76829,13.069,5.9089,1.0011,17.011,18.514,17.894,1216,188.926,3.25632,"Boreal Grassland, Meadow & Shrubland"
60.6,7.5,293,-1.7,1174,104149,429,27330,0.76829,13.069,5.9089,1.0011,17.011,18.514,17.894,1216,188.926,3.25632,"Boreal Grassland, Meadow & Shrubland"
54,-105,252,-0.358333,474,148069,802,5907,0.3695,5.3568,5.3754,1.4296,14.497,26.441,11.77,595,205.242,0.464677,"Temperate Grassland, Meadow & Shrubland"
52.05,113.5,222.2222222,-1.24167,358,152097,911,3925,0.80356,8.574,6.8178,1.2376,10.67,28.026,21.018,703,248.332,2.5689,"Temperate Grassland, Meadow & Shrubland"
51.67,36.5,544.6,5.895,622,128115,893,6955,0.856842,9.7921,6.71902,1.13198,11.4614,30.8254,24.6134,205,351.115,0.587759,"Temperate Grassland, Meadow & Shrubland"
51.67,71,204.6666667,2.24833,295,144764,1065,2773,0.569622,7.47986,6.93764,1.18562,13.134,24.014,20.3366,363,284.93,0.386527,Cool Semi-Desert Scrub & Grassland
51.83,94.42,105.4,-2.23533,304,151475,875,3476,0.851019,10.8885,6.10187,1.03755,12.8316,25.3344,17.959,786,75.9015,3.66909,Cool Semi-Desert Scrub & Grassland
50.7,-107.72,170.012,3.65833,358,161647,1101,3247,0.688888,7.25908,6.68984,1.45894,10.5378,39.4698,25.4242,660,107.811,1.41398,"Temperate Grassland, Meadow & Shrubland"
50.7,-107.72,158.75,3.65833,358,161647,1101,3247,0.688888,7.25908,6.68984,1.45894,10.5378,39.4698,25.4242,660,107.811,1.41398,"Temperate Grassland, Meadow & Shrubland"
50.7,-107.72,152,3.65833,358,161647,1101,3247,0.688888,7.25908,6.68984,1.45894,10.5378,39.4698,25.4242,660,107.811,1.41398,"Temperate Grassland, Meadow & Shrubland"
49.49,118.4,160.5,-0.61,309,166388,1052,2935,0.495366,4.40586,7.14754,1.41704,8.90002,36.6854,21.1926,605,196.208,1.59312,"Temperate Grassland, Meadow & Shrubland"
49.49,118.21,178.7,-0.638667,304,167288,1056,2874,0.476144,4.54014,7.1915,1.38423,9.53327,24.6505,21.6821,608,273.713,1.45736,"Temperate Grassland, Meadow & Shrubland"
49.49,117.11,190,-0.687334,281,166553,1061,2651,0.479366,5.83182,7.19766,1.39426,12.167,33.7182,21.6055,781,179.311,0.911883,"Temperate Grassland, Meadow & Shrubland"
49.49,118.46,109.2,-0.759333,312,166238,1048,2980,0.488752,4.623,7.13482,1.40169,9.46292,36.8,21.0549,619,96.3024,1.26676,"Temperate Grassland, Meadow & Shrubland"
49.52,119.8,193.6,-2.26667,358,165132,948,3778,0.521372,7.82208,7.075,1.3048,15.011,43.076,23.1786,637,332.213,1.36192,"Temperate Grassland, Meadow & Shrubland"
49.62,119.79,214.1,-2.407,379,163724,937,4046,0.540392,8.19047,6.80549,1.23562,15.1143,42.5207,23.4429,739,137.58,1.99928,"Temperate Grassland, Meadow & Shrubland"
49.47,120.06,180.8,-2.43533,379,164116,930,4075,0.556711,6.70389,6.88893,1.2723,12.0443,41.2159,22.8127,734,237.808,1.96642,"Temperate Grassland, Meadow & Shrubland"
49.81694444,120.1247222,266.92,-3.28003,410,161423,889,4609,0.494196,8.51117,6.79112,1.21015,17.2204,43.4137,21.536,796,123.225,1.85063,"Temperate Grassland, Meadow & Shrubland"
49.81666667,120.1333333,268.2,-3.16667,405,161693,890,4546,0.53976,8.458,6.7589,1.2215,15.67,41.477,22.755,748,154.355,1.54389,"Temperate Grassland, Meadow & Shrubland"
49.68333333,120.1333333,247.9,-2.93333,406,162522,892,4547,0.58031,7.7433,6.8141,1.207,13.344,37.833,21.702,797,248.548,3.05404,"Temperate Grassland, Meadow & Shrubland"
49.81666667,120.1333333,669.2,-3.16667,405,161693,890,4546,0.53976,8.458,6.7589,1.2215,15.67,41.477,22.755,748,154.355,1.54389,"Temperate Grassland, Meadow & Shrubland"
48.81,116.79,59.5,0.943666,237,169445,1158,2043,0.529002,3.92346,7.21671,1.39301,7.41744,27.2588,15.9499,568,172.75,0.590747,"Temperate Grassland, Meadow & Shrubland"
49.29,119.73,137.1,-1.49033,349,166579,989,3524,0.529536,6.40114,7.03249,1.36419,12.0938,41.7023,21.727,697,250.068,2.55326,"Temperate Grassland, Meadow & Shrubland"
49.28,119.19,157.6,-1.13533,328,167409,1001,3274,0.466418,5.01292,7.1921,1.37182,10.7513,40.1218,16.8576,608,60.0983,0.652809,"Temperate Grassland, Meadow & Shrubland"
48.48,119.65,190.7,-1.21,357,168153,1017,3505,0.498624,7.30472,6.96164,1.246,14.648,41.1672,22.4904,744,58.1606,0.742445,"Temperate Grassland, Meadow & Shrubland"
49.21,117.13,192,0.23,263,167902,1117,2356,0.499824,4.54717,7.17388,1.42983,9.09839,33.75,20.6948,723,134.532,0.982539,"Temperate Grassland, Meadow & Shrubland"
48.44,117.39,180.6,0.446333,240,172415,1138,2106,0.522441,4.52587,7.17609,1.38936,8.66243,32.6914,16.6587,635,105.737,0.250269,"Temperate Grassland, Meadow & Shrubland"
48.76,118.7,130.4,-1.055,299,170211,1048,2851,0.508792,5.56676,7.17136,1.29902,10.9408,28.829,17.7482,705,261.242,0.306344,"Temperate Grassland, Meadow & Shrubland"
48.84,119.22,160.9,-0.993334,323,168318,1025,3154,0.503524,4.9333,7.06508,1.36693,9.79407,38.7274,23.315,644,90.537,0.576465,"Temperate Grassland, Meadow & Shrubland"
48.41,118.6,155,-0.611666,292,171268,1065,2741,0.501412,4.6766,7.17406,1.39196,9.33312,39.5302,20.6728,751,140.05,0.838939,"Temperate Grassland, Meadow & Shrubland"
49.33,119.97,210.2,-2.14767,362,165563,960,3767,0.518225,7.96195,6.90179,1.25343,15.3656,43.7446,24.0064,658,34.4457,1.11966,"Temperate Grassland, Meadow & Shrubland"
48.89,119.79,126.8,-1.463,346,168305,1004,3450,0.540897,6.46822,7.05682,1.34093,11.959,37.147,19.4738,647,47.3928,0.697768,"Temperate Grassland, Meadow & Shrubland"
49.05,119.54,125.9,-1.75,339,167929,976,3473,0.53261,6.69892,7.09094,1.34918,12.5774,41.8944,22.66,707,273.101,0.441264,"Temperate Grassland, Meadow & Shrubland"
49.4,120.06,155.4,-2.5,371,164325,943,3933,0.561148,6.50478,6.95918,1.26668,11.5892,44.328,25.2482,647,177.385,0.274727,"Temperate Grassland, Meadow & Shrubland"
48.81,86.91,152.8,-2.418,358,164638,852,4198,0.706092,9.26578,6.97256,1.08676,13.106,39.262,21.6515,1785,112.693,7.18433,Cool Semi-Desert Scrub & Grassland
49.06388889,120.3019444,261,-1.93889,391,165578,951,4105,0.536726,7.12281,6.77612,1.23999,13.2726,35.6151,22.0827,727,168.672,0.539909,"Temperate Grassland, Meadow & Shrubland"
48.76694444,120.75,161.93,-3.30861,449,163215,850,5273,0.68696,9.33099,6.16148,1.1267,13.5806,28.5588,17.81,974,61.8769,3.60208,"Temperate Grassland, Meadow & Shrubland"
48.46111111,120.6880556,229.61,-3.09361,442,164574,874,5050,0.620005,7.00755,6.2697,1.17609,11.3115,28.948,19.1514,926,290.888,3.1918,"Temperate Grassland, Meadow & Shrubland"
49.06666667,120.3,225.9,-1.90833,389,165615,951,4087,0.53977,7.0265,6.7862,1.241,13.018,34.913,22.744,724,109.795,0.610144,"Temperate Grassland, Meadow & Shrubland"
48.76666667,118.75,131.3,-1.125,302,170000,1043,2894,0.50642,5.0719,7.1294,1.3552,10.015,37.743,22.802,709,263.611,0.329342,"Temperate Grassland, Meadow & Shrubland"
49.06666667,120.3,246.6,-1.90833,389,165615,951,4087,0.53977,7.0265,6.7862,1.241,13.018,34.913,22.744,724,109.795,0.610144,"Temperate Grassland, Meadow & Shrubland"
48.6,119.9666667,128.5,-2.075,377,167673,967,3898,0.56678,7.721,6.7075,1.1999,13.623,36.18,21.603,815,311.438,0.914628,"Temperate Grassland, Meadow & Shrubland"
49.06666667,120.3,157.8,-1.90833,389,165615,951,4087,0.53977,7.0265,6.7862,1.241,13.018,34.913,22.744,724,109.795,0.610144,"Temperate Grassland, Meadow & Shrubland"
