Lat,Lon,TNPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation
68.5,19.05,240,-2.575,577,91217,425,13567,0.62423,11.073,6.1761,1.1623,17.739,27.234,24.093,877,240.918,3.34383,"Boreal Grassland, Meadow & Shrubland"
60.6,7.5,837,-1.7,1174,104149,429,27330,0.76829,13.069,5.9089,1.0011,17.011,18.514,17.894,1216,188.926,3.25632,"Boreal Grassland, Meadow & Shrubland"
60.6,7.5,538,-1.7,1174,104149,429,27330,0.76829,13.069,5.9089,1.0011,17.011,18.514,17.894,1216,188.926,3.25632,"Boreal Grassland, Meadow & Shrubland"
54,-105,662,-0.358333,474,148069,802,5907,0.3695,5.3568,5.3754,1.4296,14.497,26.441,11.77,595,205.242,0.464677,"Temperate Grassland, Meadow & Shrubland"
51.7,36.2,300,6.13333,624,127991,890,7010,0.75124,10.557,6.6073,1.205,14.053,26.055,24.422,158,125.187,0.104493,"Temperate Grassland, Meadow & Shrubland"
51.67,36.5,1292.6,5.895,622,128115,893,6955,0.856842,9.7921,6.71902,1.13198,11.4614,30.8254,24.6134,205,351.115,0.587759,"Temperate Grassland, Meadow & Shrubland"
51.83,94.42,758.0666667,-2.23533,304,151475,875,3476,0.851019,10.8885,6.10187,1.03755,12.8316,25.3344,17.959,786,75.9015,3.66909,Cool Semi-Desert Scrub & Grassland
50.7,-107.72,752,3.65833,358,161647,1101,3247,0.688888,7.25908,6.68984,1.45894,10.5378,39.4698,25.4242,660,107.811,1.41398,"Temperate Grassland, Meadow & Shrubland"
46.4,-119.55,439.6,11.35,205,170129,1582,1295,0.26595,2.5349,7.1178,1.571,9.5315,44.27,13.758,386,53.4057,3.61574,"Temperate Grassland, Meadow & Shrubland"
46.65,-99.35,708.5,4.98333,439,158041,1190,3687,0.92593,6.9532,7.2258,1.4732,7.5094,31.254,20.916,596,282.932,0.533367,"Temperate Grassland, Meadow & Shrubland"
46.65,-99.35,707,4.98333,439,158041,1190,3687,0.92593,6.9532,7.2258,1.4732,7.5094,31.254,20.916,596,282.932,0.533367,"Temperate Grassland, Meadow & Shrubland"
46.9,-102.82,1282.5,5.71333,420,164423,1299,3234,0.602088,6.77896,6.69956,1.48462,11.2614,29.2052,19.3102,762,130.958,0.6086,"Temperate Grassland, Meadow & Shrubland"
46.77719,9.97533,259,-2.566,1295,161255,651,19869,1.1646,17.3031,5.64198,0.946084,14.8569,8.9398,17.0417,2658,161.972,8.29707,"Alpine Scrub, Forb Meadow & Grassland"
46.79147,9.97692,330,-1.39731,1244,159180,690,18072,1.16999,17.6648,5.58647,0.887533,15.1217,11.0422,16.5055,2414,299.319,14.8172,"Alpine Scrub, Forb Meadow & Grassland"
46.81831,9.97766,467,0.868985,1074,155391,758,14179,1.15692,15.2337,5.53534,0.865072,13.1727,18.334,13.4615,2000,241.851,9.14796,"Alpine Scrub, Forb Meadow & Grassland"
46.82676,9.97203,508,0.895166,1084,155265,758,14292,1.17418,13.9201,5.52785,0.891624,11.8673,19.4252,13.7471,1978,270.5,17.6202,"Alpine Scrub, Forb Meadow & Grassland"
46.83607,9.96617,448,1.6303,1024,154083,778,13165,1.22519,13.9403,5.34107,0.873745,11.4064,24.0191,12.4732,1809,254.866,22.4213,"Alpine Scrub, Forb Meadow & Grassland"
46.51666667,-106.6333333,267.674,7.44167,299,169412,1469,2034,0.51616,4.4478,7.449,1.4845,8.617,43.43,26.887,845,292.47,1.6927,"Temperate Grassland, Meadow & Shrubland"
46.58,9.79,1109.881,-0.0976667,1095,160242,735,14915,1.17571,16.8584,5.30617,0.919761,14.3476,18.4196,13.7345,2332,180.189,11.0588,"Alpine Scrub, Forb Meadow & Grassland"
47.17,11,100,-0.955,1193,151610,662,18074,1.18168,17.4918,5.59332,0.928692,14.7974,11.4226,15.8998,2467,193.102,12.2455,"Alpine Scrub, Forb Meadow & Grassland"
46.08,59,535,8.13833,129,185473,1518,849,0.503536,3.65342,7.56006,1.31808,7.25666,32.5078,23.0178,149,322.726,0.243475,Cool Semi-Desert Scrub & Grassland
45.58,-93.17,1000,6.13167,737,152905,1034,7121,0.838648,8.6691,5.89794,1.56402,10.3672,25.6209,22.0444,291,148.169,0.0993315,"Temperate Grassland, Meadow & Shrubland"
45.57,-93.58,918,6.15033,743,153317,1035,7176,0.648358,7.55241,5.74421,1.54329,11.6883,31.0565,18.3768,297,130.403,0.172676,"Temperate Grassland, Meadow & Shrubland"
45.57,-93.58,673.5611,6.15033,743,153317,1035,7176,0.648358,7.55241,5.74421,1.54329,11.6883,31.0565,18.3768,297,130.403,0.172676,"Temperate Grassland, Meadow & Shrubland"
45.78,-110.78,801,2.47467,569,166699,1160,4897,0.56317,10.2855,5.56711,1.53371,18.3412,42.2532,16.0286,2303,114.689,5.05156,Cool Semi-Desert Scrub & Grassland
46.1,123,272.295,5.14167,407,175538,1316,3091,0.58412,6.3468,7.4082,1.2882,10.866,35.078,23.703,160,58.2188,0.291766,"Temperate Grassland, Meadow & Shrubland"
46.1,123,275.864,5.14167,407,175538,1316,3091,0.58412,6.3468,7.4082,1.2882,10.866,35.078,23.703,160,58.2188,0.291766,"Temperate Grassland, Meadow & Shrubland"
46.1,123,283.605,5.14167,407,175538,1316,3091,0.58412,6.3468,7.4082,1.2882,10.866,35.078,23.703,160,58.2188,0.291766,"Temperate Grassland, Meadow & Shrubland"
46.03333333,122.3833333,796.7,4.54167,425,176059,1303,3260,0.52408,5.8758,7.448,1.2993,11.212,30.518,17.526,286,281.933,0.691969,"Temperate Grassland, Meadow & Shrubland"
46.01472222,11.04583333,1173.333333,5.66514,352,154670,912,3854,1.09406,11.9397,5.70564,0.940623,11.0504,36.4488,13.8477,1573,158.279,11.12,"Alpine Scrub, Forb Meadow & Grassland"
45.53,-102,602,7.13667,425,168089,1399,3037,0.68538,5.59112,6.92448,1.49646,8.163,34.481,23.9124,725,119.344,0.380246,"Temperate Grassland, Meadow & Shrubland"
45.78,-110.78,720,2.47467,569,166699,1160,4897,0.56317,10.2855,5.56711,1.53371,18.3412,42.2532,16.0286,2303,114.689,5.05156,Cool Semi-Desert Scrub & Grassland
44.7,120.85,1105.5,6.56667,392,181587,1465,2675,0.53308,4.3608,7.1963,1.315,8.1803,32.135,20.235,356,185.358,1.12844,"Temperate Grassland, Meadow & Shrubland"
44.625,-110.085,748.9363333,0.695,602,171342,1071,5622,0.613034,8.03724,5.8816,1.64182,13.1108,38.0742,15.5976,2516,300.383,8.0576,Cool Semi-Desert Scrub & Grassland
44.6,123.54,923.0766667,6.03667,420,180446,1336,3145,0.588,6.259,7.401,1.26902,10.6444,22.2998,17.4226,140,0,0.0352237,"Temperate Grassland, Meadow & Shrubland"
44.6,123.54,829.3273333,6.03667,420,180446,1336,3145,0.588,6.259,7.401,1.26902,10.6444,22.2998,17.4226,140,0,0.0352237,"Temperate Grassland, Meadow & Shrubland"
44.46,-93.15,797.753,7.05,788,156515,1081,7287,0.637864,6.4227,6.09578,1.53524,10.0882,39.2426,15.6298,290,310.292,0.448369,"Temperate Grassland, Meadow & Shrubland"
44.46,-93.15,1065.794,7.05,788,156515,1081,7287,0.637864,6.4227,6.09578,1.53524,10.0882,39.2426,15.6298,290,310.292,0.448369,"Temperate Grassland, Meadow & Shrubland"
44.57416667,123.5186111,621.054,6.07572,435,178990,1338,3252,0.611608,6.17581,7.3083,1.26822,10.0978,34.8148,26.0867,148,21.2153,0.233875,"Temperate Grassland, Meadow & Shrubland"
44.56666667,122.9166667,1119.681,6.39167,431,179516,1390,3100,0.54058,5.1701,7.4511,1.3168,9.5641,22.377,21.494,151,15.8064,0.0402166,"Temperate Grassland, Meadow & Shrubland"
44.56666667,122.9166667,1118.909,6.39167,431,179516,1390,3100,0.54058,5.1701,7.4511,1.3168,9.5641,22.377,21.494,151,15.8064,0.0402166,"Temperate Grassland, Meadow & Shrubland"
44.7,123.7583333,290.954,5.73333,436,178654,1312,3321,0.63034,6.3818,7.5524,1.2585,10.124,25.571,24.303,153,78.2001,0.0745932,"Temperate Grassland, Meadow & Shrubland"
43.63,116.7,535,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
43.63,116.7,194,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
